,precision,recall,f1-score,support
0.0,0.5097399933840556,0.542278878719373,0.5255062230928308,355201.0
1.0,0.49218203398300847,0.4596306083994003,0.4753497015055943,342834.0
accuracy,0.501686878165135,0.501686878165135,0.501686878165135,0.501686878165135
macro avg,0.5009610136835321,0.5009547435593866,0.5004279622992125,698035.0
weighted avg,0.5011165497840949,0.501686878165135,0.5008722707525632,698035.0
