,precision,recall,f1-score,support
0.0,0.5127844171041911,0.9178324385348015,0.6579681626680794,355201.0
1.0,0.5312314289844365,0.09647526208019042,0.16329502956096717,342834.0
accuracy,0.5144297922023967,0.5144297922023967,0.5144297922023967,0.5144297922023967
macro avg,0.5220079230443138,0.5071538503074959,0.4106315961145233,698035.0
weighted avg,0.5218445113271915,0.5144297922023967,0.41501362755788623,698035.0
