,precision,recall,f1-score,support
0.0,0.5093790325378821,0.8679395609809657,0.6419868517774256,355201.0
1.0,0.49453675567336913,0.1338665359911794,0.21069884031622732,342834.0
accuracy,0.507405789107996,0.507405789107996,0.507405789107996,0.507405789107996
macro avg,0.5019578941056256,0.5009030484860726,0.4263428460468265,698035.0
weighted avg,0.5020893734999134,0.507405789107996,0.4301633842990206,698035.0
