,precision,recall,f1-score,support
0.0,0.5091335597288709,0.5254940160641439,0.5171844348144126,355201.0
1.0,0.49144589946291717,0.4750841515135605,0.4831265368837263,342834.0
accuracy,0.5007356364652202,0.5007356364652202,0.5007356364652202,0.5007356364652202
macro avg,0.500289729595894,0.5002890837888522,0.5001554858490694,698035.0
weighted avg,0.50044641464357,0.5007356364652202,0.5004571856375534,698035.0
