{'threshold': 52.532858037023324, 'roc_auc': 0.5975222828236493, 'acc': 0.5444664410243311, 'precision': 0.5128068812590364, 'recall': 0.5626679135702658, 'f1-score': 0.3922941893603177, 'support': 186529.81196938318}
{'threshold': 70.93721990120814, 'roc_auc': 0.5867074047433574, 'acc': 0.46186674938191635, 'precision': 0.510243877613416, 'recall': 0.5867500658748177, 'f1-score': 0.3490563454228396, 'support': 186529.81196938318}
{'threshold': 73.43488341238884, 'roc_auc': 0.2316888599225991, 'acc': 0.1469095818926587, 'precision': 0.38903352061910623, 'recall': 0.49539867215511435, 'f1-score': 0.11476984059495807, 'support': 186529.81196938318}
{'threshold': 38.10914818534556, 'roc_auc': 0.6131520931874944, 'acc': 0.5138405116181475, 'precision': 0.5131625671897458, 'recall': 0.6183274930927418, 'f1-score': 0.3691987495495124, 'support': 186529.81196938318}
{'threshold': 50.9212336021758, 'roc_auc': 0.4946384985936611, 'acc': 0.5440303613622471, 'precision': 0.4983861489274975, 'recall': 0.5219931100339515, 'f1-score': 0.3803894709611444, 'support': 186529.81196938318}
{'threshold': 148.66441380046973, 'roc_auc': 0.46766758745070897, 'acc': 0.5484185269995348, 'precision': 0.4947975608254483, 'recall': 0.49964660786635184, 'f1-score': 0.37757408741483744, 'support': 186529.81196938318}
{'threshold': 81.99117313059372, 'roc_auc': 0.32461427756063366, 'acc': 0.3020681853429794, 'precision': 0.48238143428725516, 'recall': 0.4209186749932742, 'f1-score': 0.23704558496275085, 'support': 186529.81196938318}
{'threshold': 103.43049819207245, 'roc_auc': 0.5120966093888325, 'acc': 0.46704861649621854, 'precision': 0.5043221896423093, 'recall': 0.5152836855449077, 'f1-score': 0.34829882840291676, 'support': 186529.81196938318}
{'threshold': 74.98513177993492, 'roc_auc': 0.4003845454283012, 'acc': 0.5694233348234242, 'precision': 0.4902482050267093, 'recall': 0.47527720935575607, 'f1-score': 0.3768795479489753, 'support': 186529.81196938318}
{'threshold': 117.14563348432272, 'roc_auc': 0.646566676123111, 'acc': 0.5714869586636622, 'precision': 0.5136559571991212, 'recall': 0.621854157961462, 'f1-score': 0.402192862571505, 'support': 186529.81196938318}
