{'threshold': 1578.6826869531008, 'roc_auc': 0.4528323351492099, 'acc': 0.54979427622636, 'precision': 0.49366109567687716, 'recall': 0.48982870829823993, 'f1-score': 0.3742221010493886, 'support': 186529.81196938318}
{'threshold': 1353.6452788214988, 'roc_auc': 0.37389537701432635, 'acc': 0.32341236897083375, 'precision': 0.32981480697550886, 'recall': 0.5329985262796065, 'f1-score': 0.2318523017751463, 'support': 186529.81196938318}
{'threshold': 1984.2627973021777, 'roc_auc': 0.3974086546533611, 'acc': 0.5645516498955416, 'precision': 0.48954413592938706, 'recall': 0.4571142093249635, 'f1-score': 0.3792825314176721, 'support': 186529.81196938318}
{'threshold': 1438.0138956893193, 'roc_auc': 0.5803183278793188, 'acc': 0.5256730497295029, 'precision': 0.5181878371389329, 'recall': 0.559825994459429, 'f1-score': 0.3826239929768613, 'support': 186529.81196938318}
{'threshold': 1067.3703742355297, 'roc_auc': 0.700123624531359, 'acc': 0.6485727057921962, 'precision': 0.5215362884080662, 'recall': 0.6626875410401937, 'f1-score': 0.4472140151060754, 'support': 186529.81196938318}
{'threshold': 966.9721991261747, 'roc_auc': 0.26829363634520864, 'acc': 0.19188599892348535, 'precision': 0.42409626415811713, 'recall': 0.42395064254644793, 'f1-score': 0.16201277456177565, 'support': 186529.81196938318}
{'threshold': 2405.008308713543, 'roc_auc': 0.6253272713122799, 'acc': 0.48748962258126316, 'precision': 0.5219020399133427, 'recall': 0.6359686303804403, 'f1-score': 0.3628368968263743, 'support': 186529.81196938318}
{'threshold': 1382.9017285217724, 'roc_auc': 0.7127072091790106, 'acc': 0.6189758514044867, 'precision': 0.5292046736461773, 'recall': 0.6665652234388264, 'f1-score': 0.43982950773851937, 'support': 186529.81196938318}
{'threshold': 1576.8258807083555, 'roc_auc': 0.5306053465289853, 'acc': 0.5777690602392052, 'precision': 0.5035148267040327, 'recall': 0.5577515509188429, 'f1-score': 0.398721072977203, 'support': 186529.81196938318}
{'threshold': 1081.6557497750966, 'roc_auc': 0.4382526327421919, 'acc': 0.40973242224918577, 'precision': 0.5019972822623848, 'recall': 0.5137374941536217, 'f1-score': 0.3102428516430523, 'support': 186529.81196938318}
