,precision,recall,f1-score,support
0.0,0.5078893364549093,0.544173580592397,0.5254057609768163,355201.0
1.0,0.48997977685237104,0.4537122922463933,0.4711491279615685,342834.0
accuracy,0.4997442821635018,0.4997442821635018,0.4997442821635018,0.4997442821635018
macro avg,0.49893455665364017,0.49894293641939513,0.4982774444691924,698035.0
weighted avg,0.4990932073829049,0.4997442821635018,0.49875807350677626,698035.0
