,precision,recall,f1-score,support
0.0,0.507460956955259,0.5794324903364574,0.5410638306262396,355201.0
1.0,0.4892035410333827,0.41731858567119945,0.4504109140535597,342834.0
accuracy,0.4998116140308151,0.4998116140308151,0.4998116140308151,0.4998116140308151
macro avg,0.4983322489943208,0.4983755380038284,0.4957373723398997,698035.0
weighted avg,0.4984939811873383,0.4998116140308151,0.49654041561083473,698035.0
