{'threshold': 0.8733817431045662, 'roc_auc': 0.34245732585566613, 'acc': 0.6528258509483365, 'precision': 0.4938810355722472, 'recall': 0.5173038501485344, 'f1-score': 0.3999135047068585, 'support': 186529.81196938318}
{'threshold': 0.8707017166538208, 'roc_auc': 0.34452344129637735, 'acc': 0.6528988349921998, 'precision': 0.4939959607529723, 'recall': 0.518564421236965, 'f1-score': 0.40011754264858423, 'support': 186529.81196938318}
{'threshold': 0.8706814220978861, 'roc_auc': 0.3480110463105881, 'acc': 0.6570552762902211, 'precision': 0.4940518348714536, 'recall': 0.5192345560736193, 'f1-score': 0.4022185874231701, 'support': 186529.81196938318}
{'threshold': 0.8693174122075078, 'roc_auc': 0.3510070800509137, 'acc': 0.6581646337569449, 'precision': 0.49412352746409477, 'recall': 0.5199143826630038, 'f1-score': 0.402860919140469, 'support': 186529.81196938318}
{'threshold': 0.7543580055356447, 'roc_auc': 0.35663889311241626, 'acc': 0.3229069544670796, 'precision': 0.383430041592893, 'recall': 0.5214553745520693, 'f1-score': 0.23754635022650028, 'support': 186529.81196938318}
{'threshold': 0.7570608644228682, 'roc_auc': 0.3603978826194849, 'acc': 0.3271181337979984, 'precision': 0.39159375599044327, 'recall': 0.520525600306552, 'f1-score': 0.2396461554601654, 'support': 186529.81196938318}
{'threshold': 0.8405918178555913, 'roc_auc': 0.3645542552465742, 'acc': 0.6229881492158776, 'precision': 0.4940171038359966, 'recall': 0.5029059988006948, 'f1-score': 0.39602229411142764, 'support': 186529.81196938318}
{'threshold': 0.8407218458317249, 'roc_auc': 0.36552396638842444, 'acc': 0.6249733152089625, 'precision': 0.49407540359033353, 'recall': 0.503728974680278, 'f1-score': 0.39673509891841835, 'support': 186529.81196938318}
{'threshold': 0.8422443424955094, 'roc_auc': 0.36815023524599816, 'acc': 0.6329267513889776, 'precision': 0.49413671043257756, 'recall': 0.5039979278641008, 'f1-score': 0.40047233735464133, 'support': 186529.81196938318}
{'threshold': 0.8419871883009169, 'roc_auc': 0.3684566236456413, 'acc': 0.6330325782525795, 'precision': 0.4941586428837833, 'recall': 0.5041932722121487, 'f1-score': 0.40056776493722507, 'support': 186529.81196938318}
