{'threshold': 0.7611783953156862, 'roc_auc': 0.3779241479009644, 'acc': 0.3454644978241632, 'precision': 0.3793303147825739, 'recall': 0.5384874305617766, 'f1-score': 0.24991600953363066, 'support': 186529.81196938318}
{'threshold': 0.8273444466721691, 'roc_auc': 0.38547263112032637, 'acc': 0.5975605083338655, 'precision': 0.49381547135092546, 'recall': 0.4831759500059701, 'f1-score': 0.393655857150635, 'support': 186529.81196938318}
{'threshold': 0.7682336760000322, 'roc_auc': 0.3390858518357631, 'acc': 0.331325663926724, 'precision': 0.42947152927031035, 'recall': 0.4867887269429568, 'f1-score': 0.23966187174118886, 'support': 186529.81196938318}
{'threshold': 0.8138412644899605, 'roc_auc': 0.5902802543735648, 'acc': 0.5366863419484915, 'precision': 0.5178545908724107, 'recall': 0.6101084237869954, 'f1-score': 0.39043210592150707, 'support': 186529.81196938318}
{'threshold': 0.8096646714546345, 'roc_auc': 0.523790959827367, 'acc': 0.5237626923813781, 'precision': 0.5057420832208709, 'recall': 0.5480003097663364, 'f1-score': 0.3768040428848343, 'support': 186529.81196938318}
{'threshold': 0.8852577226378574, 'roc_auc': 0.3269359905486774, 'acc': 0.635793199711713, 'precision': 0.4925498368777393, 'recall': 0.5042219407347575, 'f1-score': 0.3918706965437074, 'support': 186529.81196938318}
{'threshold': 0.7891188156482636, 'roc_auc': 0.5258337313569824, 'acc': 0.49266601589227554, 'precision': 0.5060769827046053, 'recall': 0.5514066843973476, 'f1-score': 0.3575940744117289, 'support': 186529.81196938318}
{'threshold': 0.7928628626302856, 'roc_auc': 0.526157185842567, 'acc': 0.5069362210686689, 'precision': 0.5104587417215918, 'recall': 0.5696658414534209, 'f1-score': 0.3702880242016698, 'support': 186529.81196938318}
{'threshold': 0.8575395868402107, 'roc_auc': 0.32141885354999417, 'acc': 0.6152427175608732, 'precision': 0.49239566165342774, 'recall': 0.4997653087091681, 'f1-score': 0.38010140560812755, 'support': 186529.81196938318}
{'threshold': 0.8017215167868275, 'roc_auc': 0.3919115414403048, 'acc': 0.38106793902183134, 'precision': 0.48145036654622353, 'recall': 0.44131920387599144, 'f1-score': 0.2862496973732499, 'support': 186529.81196938318}
