,precision,recall,f1-score,support
0.0,0.5102532698980954,0.5489258194655984,0.5288835422196242,355201.0
1.0,0.4928287218316435,0.4541294037347521,0.47268830066778295,342834.0
accuracy,0.5023673598028752,0.5023673598028752,0.5023673598028752,0.5023673598028752
macro avg,0.5015409958648694,0.5015276116001752,0.5007859214437036,698035.0
weighted avg,0.5016953501493522,0.5023673598028752,0.5012837235254556,698035.0
