,precision,recall,f1-score,support
0.0,0.5103199400061873,0.8870188991585046,0.6478935798757555,355201.0
1.0,0.5023314070289442,0.11815339202062806,0.19130898855178147,342834.0
accuracy,0.5093970932689622,0.5093970932689622,0.5093970932689622,0.5093970932689622
macro avg,0.5063256735175657,0.5025861455895664,0.41960128421376847,698035.0
weighted avg,0.5063964394442955,0.5093970932689622,0.4236459106586484,698035.0
