,precision,recall,f1-score,support
0.0,0.511339052302399,0.5556290663596105,0.5325648166137772,355201.0
1.0,0.4942095953446044,0.4498591154902956,0.47099260652738884,342834.0
accuracy,0.5036810475119442,0.5036810475119442,0.5036810475119442,0.5036810475119442
macro avg,0.5027743238235016,0.5027440909249531,0.501778711570583,698035.0
weighted avg,0.5029260640615966,0.5036810475119442,0.5023241451965031,698035.0
