,precision,recall,f1-score,support
0.0,0.5094522632699175,0.5249365852010551,0.5170785276720125,355201.0
1.0,0.4917961197212367,0.4763092342066423,0.48392880427695917,342834.0
accuracy,0.5010536720938061,0.5010536720938061,0.5010536720938061,0.5010536720938061
macro avg,0.5006241914955771,0.5006229097038487,0.5005036659744858,698035.0
weighted avg,0.5007805973543568,0.5010536720938061,0.5007973207548526,698035.0
