,precision,recall,f1-score,support
0.0,0.5078807775903211,0.5644409784882363,0.534669228584496,355201.0
1.0,0.4898689976490139,0.43334675090568614,0.4598776371242712,342834.0
accuracy,0.50005515482748,0.50005515482748,0.50005515482748,0.50005515482748
macro avg,0.49887488761966753,0.4988938646969612,0.4972734328543836,698035.0
weighted avg,0.4990344438614993,0.50005515482748,0.49793596955497066,698035.0
