{'threshold': 1.7515810931742397, 'roc_auc': 0.5358419078308894, 'acc': 0.65581089834235, 'precision': 0.5118146688577703, 'recall': 0.585489029321241, 'f1-score': 0.4374987583258453, 'support': 186529.81196938318}
{'threshold': 1.4501137114527773, 'roc_auc': 0.589904481332417, 'acc': 0.5288606278452374, 'precision': 0.5092608249978018, 'recall': 0.5851293391595311, 'f1-score': 0.38098872703736647, 'support': 186529.81196938318}
{'threshold': 1.365333579483435, 'roc_auc': 0.3492131374756421, 'acc': 0.5361207156085501, 'precision': 0.49921695912486236, 'recall': 0.47338974754514596, 'f1-score': 0.3742541567105316, 'support': 186529.81196938318}
{'threshold': 1.3254509379241162, 'roc_auc': 0.64253381605971, 'acc': 0.538667858739383, 'precision': 0.5209627444377798, 'recall': 0.6275967512706205, 'f1-score': 0.3941292660981633, 'support': 186529.81196938318}
{'threshold': 1.6540732927462376, 'roc_auc': 0.44871831188363975, 'acc': 0.5022907866767627, 'precision': 0.5026843447019166, 'recall': 0.511574378814571, 'f1-score': 0.3572330223705385, 'support': 186529.81196938318}
{'threshold': 1.2744268711067868, 'roc_auc': 0.5192087900668072, 'acc': 0.46275168091376023, 'precision': 0.3616006837237069, 'recall': 0.6600910313822402, 'f1-score': 0.3133658695009184, 'support': 186529.81196938318}
{'threshold': 1.078009485857153, 'roc_auc': 0.26816134650374085, 'acc': 0.6413837774716502, 'precision': 0.4868946170958491, 'recall': 0.4198992871926829, 'f1-score': 0.40488137046051687, 'support': 186529.81196938318}
{'threshold': 1.018115630632103, 'roc_auc': 0.323964036356849, 'acc': 0.5749336301351117, 'precision': 0.491026684210559, 'recall': 0.4564662438301814, 'f1-score': 0.380212026521444, 'support': 186529.81196938318}
{'threshold': 1.3939267510664721, 'roc_auc': 0.5152290340926912, 'acc': 0.44950507695255126, 'precision': 0.5331459023004266, 'recall': 0.6177102856713591, 'f1-score': 0.3406097016062973, 'support': 186529.81196938318}
{'threshold': 0.8879164405674648, 'roc_auc': 0.6300557143717297, 'acc': 0.5859852389771286, 'precision': 0.5201887476462912, 'recall': 0.6151257426911887, 'f1-score': 0.4175137947683682, 'support': 186529.81196938318}
