{'threshold': 0.8406570962918047, 'roc_auc': 0.3545630152792834, 'acc': 0.613171795316249, 'precision': 0.49335059251379865, 'recall': 0.49725602073345554, 'f1-score': 0.3909447590542398, 'support': 186529.81196938318}
{'threshold': 0.8197423489844862, 'roc_auc': 0.38170531205466157, 'acc': 0.570251703721274, 'precision': 0.49358523463161025, 'recall': 0.48259019422205046, 'f1-score': 0.3819854834784303, 'support': 186529.81196938318}
{'threshold': 0.8136099916928141, 'roc_auc': 0.4016999267263725, 'acc': 0.5932416775382482, 'precision': 0.49521819085977614, 'recall': 0.49579160185819643, 'f1-score': 0.39217704105477513, 'support': 186529.81196938318}
{'threshold': 0.8112402419804772, 'roc_auc': 0.4016328777717559, 'acc': 0.5954987090947241, 'precision': 0.4952760285587755, 'recall': 0.4961985308977758, 'f1-score': 0.3931338607532711, 'support': 186529.81196938318}
{'threshold': 0.8094351047817581, 'roc_auc': 0.3989163582951035, 'acc': 0.5898077782744747, 'precision': 0.4950598945643133, 'recall': 0.4938444349929063, 'f1-score': 0.3909730354792931, 'support': 186529.81196938318}
{'threshold': 0.8082838061044816, 'roc_auc': 0.396725581749764, 'acc': 0.5848138450731208, 'precision': 0.49491652167522165, 'recall': 0.492756508083584, 'f1-score': 0.3887992508395173, 'support': 186529.81196938318}
{'threshold': 0.807743935607295, 'roc_auc': 0.4002246165810451, 'acc': 0.5895851769406913, 'precision': 0.4951682145649234, 'recall': 0.49507429251407964, 'f1-score': 0.39071348727227206, 'support': 186529.81196938318}
{'threshold': 0.8070461892588354, 'roc_auc': 0.4026561144097402, 'acc': 0.5892530995411128, 'precision': 0.495237305624178, 'recall': 0.49500102941208274, 'f1-score': 0.39091973847720696, 'support': 186529.81196938318}
{'threshold': 0.8087017235080293, 'roc_auc': 0.40306911230464254, 'acc': 0.5975422623228996, 'precision': 0.495409191512288, 'recall': 0.49737953985094807, 'f1-score': 0.3939004699406832, 'support': 186529.81196938318}
{'threshold': 0.8074200052095853, 'roc_auc': 0.4032441199315669, 'acc': 0.5900759946356727, 'precision': 0.495270940459617, 'recall': 0.4951128371416318, 'f1-score': 0.3913462891644712, 'support': 186529.81196938318}
{'threshold': 0.8074145142260981, 'roc_auc': 0.4037287545138692, 'acc': 0.5904792314780181, 'precision': 0.49531468981399945, 'recall': 0.49549429653306204, 'f1-score': 0.3915123079178461, 'support': 186529.81196938318}
{'threshold': 0.807488931565339, 'roc_auc': 0.4036809026471793, 'acc': 0.5903825276198991, 'precision': 0.49528737597746025, 'recall': 0.49524591119677996, 'f1-score': 0.3914767524301884, 'support': 186529.81196938318}
{'threshold': 0.8074220044402792, 'roc_auc': 0.4040625371019583, 'acc': 0.5907802906589547, 'precision': 0.4953151223036609, 'recall': 0.49545290597954567, 'f1-score': 0.3916598881740378, 'support': 186529.81196938318}
{'threshold': 0.807561641916145, 'roc_auc': 0.40362511752535474, 'acc': 0.5904117212374445, 'precision': 0.49528051018271624, 'recall': 0.49517998473632985, 'f1-score': 0.3914944403229198, 'support': 186529.81196938318}
{'threshold': 0.8073974330198422, 'roc_auc': 0.4036994713136483, 'acc': 0.5903825276198991, 'precision': 0.4952844994106706, 'recall': 0.49521883283106866, 'f1-score': 0.39147885656511683, 'support': 186529.81196938318}
{'threshold': 0.8074357771526982, 'roc_auc': 0.403791566743823, 'acc': 0.590497477488984, 'precision': 0.4952924531781715, 'recall': 0.49527863353544194, 'f1-score': 0.39153181580741653, 'support': 186529.81196938318}
{'threshold': 0.8073749514140639, 'roc_auc': 0.40399533253423286, 'acc': 0.5906927098063186, 'precision': 0.495308696486677, 'recall': 0.49540739039501247, 'f1-score': 0.39161800843205324, 'support': 186529.81196938318}
{'threshold': 0.8073724536118025, 'roc_auc': 0.4038801995291417, 'acc': 0.5906635161887732, 'precision': 0.4953010694355009, 'recall': 0.4953381285210681, 'f1-score': 0.3916082476241139, 'support': 186529.81196938318}
{'threshold': 0.807444719243541, 'roc_auc': 0.4036209588472912, 'acc': 0.5906434455767108, 'precision': 0.4952950918234133, 'recall': 0.49535551969965336, 'f1-score': 0.39157454398058944, 'support': 186529.81196938318}
{'threshold': 0.8074108896936036, 'roc_auc': 0.4035686824338373, 'acc': 0.5906124273580688, 'precision': 0.49529349927453564, 'recall': 0.49533901942542863, 'f1-score': 0.39156583210958873, 'support': 186529.81196938318}
{'threshold': 0.8073596588153402, 'roc_auc': 0.4038655640284838, 'acc': 0.5908605731072044, 'precision': 0.4953103759420919, 'recall': 0.49546850648315643, 'f1-score': 0.3916749579895109, 'support': 186529.81196938318}
{'threshold': 0.8073805122784276, 'roc_auc': 0.4036524787649052, 'acc': 0.590616076560262, 'precision': 0.49528623768383945, 'recall': 0.49525065654666756, 'f1-score': 0.39157799474640026, 'support': 186529.81196938318}
{'threshold': 0.8073451173409589, 'roc_auc': 0.40378945633180824, 'acc': 0.5906106027569723, 'precision': 0.4952902054340797, 'recall': 0.4952740103210306, 'f1-score': 0.39158717486732114, 'support': 186529.81196938318}
{'threshold': 0.8073844866528241, 'roc_auc': 0.40386732084761984, 'acc': 0.5909189603422952, 'precision': 0.49530162398459304, 'recall': 0.4953998602303879, 'f1-score': 0.3917025614072443, 'support': 186529.81196938318}
{'threshold': 0.807302132520738, 'roc_auc': 0.4037881909166645, 'acc': 0.5904901790845977, 'precision': 0.495282000209833, 'recall': 0.49521114510803715, 'f1-score': 0.39153445971294176, 'support': 186529.81196938318}
{'threshold': 0.8072046515994105, 'roc_auc': 0.4040582438226199, 'acc': 0.5902164889201098, 'precision': 0.4953137438248577, 'recall': 0.49549876990591557, 'f1-score': 0.39142368514418946, 'support': 186529.81196938318}
{'threshold': 0.8073002801245502, 'roc_auc': 0.40387466978618186, 'acc': 0.5903405617946776, 'precision': 0.49532119504029704, 'recall': 0.4955354750317685, 'f1-score': 0.3914963893875957, 'support': 186529.81196938318}
{'threshold': 0.807216846186839, 'roc_auc': 0.4039233586987666, 'acc': 0.5901270834663772, 'precision': 0.4953195252843097, 'recall': 0.4955687028061269, 'f1-score': 0.3913840851942265, 'support': 186529.81196938318}
{'threshold': 0.8072648042875052, 'roc_auc': 0.4039942686677907, 'acc': 0.590307718974939, 'precision': 0.49532186077727447, 'recall': 0.49554532411619134, 'f1-score': 0.3914809011281557, 'support': 186529.81196938318}
{'threshold': 0.807245100754095, 'roc_auc': 0.40394635225769215, 'acc': 0.5902803499584903, 'precision': 0.49533017264164203, 'recall': 0.4956485798957083, 'f1-score': 0.39145331237839265, 'support': 186529.81196938318}
{'threshold': 0.8072214235524322, 'roc_auc': 0.40389653788428165, 'acc': 0.5901745230948884, 'precision': 0.4953209558103527, 'recall': 0.49555736935343536, 'f1-score': 0.39141107022362187, 'support': 186529.81196938318}
{'threshold': 0.8072498991723168, 'roc_auc': 0.4041336679838052, 'acc': 0.5905832337405235, 'precision': 0.4953392216755544, 'recall': 0.49569842682971027, 'f1-score': 0.39159376174698574, 'support': 186529.81196938318}
{'threshold': 0.8072580139594122, 'roc_auc': 0.404062057093484, 'acc': 0.5904536870626659, 'precision': 0.49534191814457423, 'recall': 0.49573909644145553, 'f1-score': 0.39152875249671554, 'support': 186529.81196938318}
