{'threshold': 9.531225561190151, 'roc_auc': 0.4043249475908402, 'acc': 0.4569530986288123, 'precision': 0.49796164409688665, 'recall': 0.4875944880781532, 'f1-score': 0.32913451005376926, 'support': 186529.81196938318}
{'threshold': 10.07274277745287, 'roc_auc': 0.4392972824023975, 'acc': 0.3713920794066397, 'precision': 0.49959215992334255, 'recall': 0.5060621616928653, 'f1-score': 0.2948727824386188, 'support': 186529.81196938318}
{'threshold': 8.420112356522253, 'roc_auc': 0.16475919388876625, 'acc': 0.307441635572423, 'precision': 0.4363524419992376, 'recall': 0.3977916538897042, 'f1-score': 0.22108446658767744, 'support': 186529.81196938318}
{'threshold': 8.445817085540627, 'roc_auc': 0.2463036789527914, 'acc': 0.5110306259294062, 'precision': 0.45903412434782226, 'recall': 0.4363770643890214, 'f1-score': 0.3147901465830484, 'support': 186529.81196938318}
{'threshold': 7.052184490170344, 'roc_auc': 0.3664952992569391, 'acc': 0.2999972630983551, 'precision': 0.48846332835916545, 'recall': 0.44582998269813445, 'f1-score': 0.24477053915947375, 'support': 186529.81196938318}
{'threshold': 2.3237160821801583, 'roc_auc': 0.7004100499451308, 'acc': 0.6836871538959794, 'precision': 0.5233759824287627, 'recall': 0.6695185410934383, 'f1-score': 0.46287799000646995, 'support': 186529.81196938318}
{'threshold': 9.847798929773651, 'roc_auc': 0.7132249259121466, 'acc': 0.6287192212602519, 'precision': 0.5391663945438555, 'recall': 0.6845268925473903, 'f1-score': 0.45718670656336136, 'support': 186529.81196938318}
{'threshold': 7.956537045931614, 'roc_auc': 0.48102925960385595, 'acc': 0.4637004734839846, 'precision': 0.5152298372443392, 'recall': 0.5501990220414804, 'f1-score': 0.3436780387562336, 'support': 186529.81196938318}
{'threshold': 11.36066453353975, 'roc_auc': 0.6704831758412062, 'acc': 0.6004433780664702, 'precision': 0.5191521862381147, 'recall': 0.6442761476268835, 'f1-score': 0.4206553733504075, 'support': 186529.81196938318}
{'threshold': 10.07122337288097, 'roc_auc': 0.37252868016138385, 'acc': 0.6536341492341237, 'precision': 0.5000066073934398, 'recall': 0.4878061448007204, 'f1-score': 0.42093723595661237, 'support': 186529.81196938318}
{'threshold': 9.812676961183163, 'roc_auc': 0.6467281670139631, 'acc': 0.5225475080510523, 'precision': 0.5311182454209682, 'recall': 0.6466665909058453, 'f1-score': 0.39455023101640035, 'support': 186529.81196938318}
{'threshold': 12.395458837336905, 'roc_auc': 0.6252365088888711, 'acc': 0.47568080428416337, 'precision': 0.5152623506511947, 'recall': 0.614727720571217, 'f1-score': 0.35803460675923193, 'support': 186529.81196938318}
{'threshold': 10.703342624821365, 'roc_auc': 0.33559072869677903, 'acc': 0.4171074598815834, 'precision': 0.4883845562761888, 'recall': 0.43840310018812606, 'f1-score': 0.30729012962777413, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.15247372944926457, 'acc': 0.5807230894145767, 'precision': 0.47760262114363555, 'recall': 0.44210940749683153, 'f1-score': 0.3302626919033911, 'support': 186529.81196938318}
{'threshold': 9.428618488691278, 'roc_auc': 0.31436176256579584, 'acc': 0.5324313721912547, 'precision': 0.48734412519828846, 'recall': 0.41785055851263286, 'f1-score': 0.36301213619981887, 'support': 186529.81196938318}
{'threshold': 8.599950864283647, 'roc_auc': 0.3628536748248147, 'acc': 0.2989846094897503, 'precision': 0.492356424824736, 'recall': 0.47314260480999554, 'f1-score': 0.24237398322099835, 'support': 186529.81196938318}
{'threshold': 11.10569255556675, 'roc_auc': 0.299425201286794, 'acc': 0.24961637761944294, 'precision': 0.32052725979082647, 'recall': 0.46048070468668256, 'f1-score': 0.1947057324295238, 'support': 186529.81196938318}
{'threshold': 5.015509987851013, 'roc_auc': 0.6413252037189056, 'acc': 0.6152354191564869, 'precision': 0.518124067686571, 'recall': 0.624155448942319, 'f1-score': 0.4287432397884272, 'support': 186529.81196938318}
{'threshold': 15.425560373870738, 'roc_auc': 0.533320059636267, 'acc': 0.5169697024987912, 'precision': 0.5120267401725325, 'recall': 0.5720274822972907, 'f1-score': 0.37848076619074694, 'support': 186529.81196938318}
{'threshold': 11.99392304891292, 'roc_auc': 0.6439973915964834, 'acc': 0.6352841360057657, 'precision': 0.5218614461806432, 'recall': 0.6041013369521114, 'f1-score': 0.4405533468026531, 'support': 186529.81196938318}
{'threshold': 4.022709842725839, 'roc_auc': 0.5324901648827296, 'acc': 0.4778703256000657, 'precision': 0.5049252519441108, 'recall': 0.5218060862683214, 'f1-score': 0.3539544007955253, 'support': 186529.81196938318}
{'threshold': 6.011260286245409, 'roc_auc': 0.7181896119173186, 'acc': 0.6632753414284802, 'precision': 0.524692561071669, 'recall': 0.6692300492339905, 'f1-score': 0.45555190840666865, 'support': 186529.81196938318}
{'threshold': 10.160872593545319, 'roc_auc': 0.47207551642393525, 'acc': 0.45598970924981524, 'precision': 0.5058119517032891, 'recall': 0.4912153905481099, 'f1-score': 0.3413940298809924, 'support': 186529.81196938318}
{'threshold': 16.838685309626467, 'roc_auc': 0.455046823024241, 'acc': 0.47774990192769107, 'precision': 0.49932019521760346, 'recall': 0.481506136009007, 'f1-score': 0.3486266664991469, 'support': 186529.81196938318}
{'threshold': 10.10009933516852, 'roc_auc': 0.4518930856552975, 'acc': 0.48870663151268556, 'precision': 0.4917410740605291, 'recall': 0.48144164641327175, 'f1-score': 0.3491160984945293, 'support': 186529.81196938318}
{'threshold': 6.185742530204331, 'roc_auc': 0.5908686836845749, 'acc': 0.52939888516873, 'precision': 0.5151754592972866, 'recall': 0.6072965164519644, 'f1-score': 0.3774379752824893, 'support': 186529.81196938318}
{'threshold': 7.571455703709529, 'roc_auc': 0.5868529062717226, 'acc': 0.4675814000164214, 'precision': 0.5089099255366285, 'recall': 0.5770064253565843, 'f1-score': 0.3511661329418038, 'support': 186529.81196938318}
{'threshold': 7.605159966446007, 'roc_auc': 0.36026464161476734, 'acc': 0.4408820121700893, 'precision': 0.4898103707890482, 'recall': 0.41531594612124983, 'f1-score': 0.32008523408012407, 'support': 186529.81196938318}
{'threshold': 13.498403363121135, 'roc_auc': 0.4669612666069994, 'acc': 0.6923321138916004, 'precision': 0.49812660317984203, 'recall': 0.5648262306476797, 'f1-score': 0.42753007080529304, 'support': 186529.81196938318}
{'threshold': 6.047330425795575, 'roc_auc': 0.4571442182365206, 'acc': 0.3976553875908879, 'precision': 0.5091052234842399, 'recall': 0.5204500260602379, 'f1-score': 0.3034996199755026, 'support': 186529.81196938318}
{'threshold': 7.6730231660768755, 'roc_auc': 0.3031719056269698, 'acc': 0.31629642469415126, 'precision': 0.4916446338522218, 'recall': 0.45839890534111655, 'f1-score': 0.2530430061083002, 'support': 186529.81196938318}
