{'threshold': 63010.95784701062, 'roc_auc': 0.3764544326537289, 'acc': 0.3883535712004963, 'precision': 0.4759639124868323, 'recall': 0.47704904417630506, 'f1-score': 0.27425444098973045, 'support': 186529.81196938318}
{'threshold': 76864.86334869609, 'roc_auc': 0.5078953934732908, 'acc': 0.48021676261027435, 'precision': 0.49729737893144, 'recall': 0.5096099058147288, 'f1-score': 0.3468125485616333, 'support': 186529.81196938318}
{'threshold': 64899.01769147478, 'roc_auc': 0.4827760708170088, 'acc': 0.49277914116026383, 'precision': 0.5050124216141958, 'recall': 0.5086774802298767, 'f1-score': 0.35766774831479015, 'support': 186529.81196938318}
{'threshold': 29076.932612043336, 'roc_auc': 0.5475510894443781, 'acc': 0.6239205203762328, 'precision': 0.5044619407537564, 'recall': 0.5844298045087207, 'f1-score': 0.41901477028971923, 'support': 186529.81196938318}
{'threshold': 56880.089523254544, 'roc_auc': 0.3926355422905442, 'acc': 0.4288086267139847, 'precision': 0.4906932271280904, 'recall': 0.44065410829395824, 'f1-score': 0.3192423879347603, 'support': 186529.81196938318}
{'threshold': 51772.71700797636, 'roc_auc': 0.6009521785612614, 'acc': 0.576929743734776, 'precision': 0.5218268922420858, 'recall': 0.5923654336887927, 'f1-score': 0.41489600306584024, 'support': 186529.81196938318}
{'threshold': 49536.524100728246, 'roc_auc': 0.40759344870296654, 'acc': 0.3701549998631549, 'precision': 0.4896435005237608, 'recall': 0.4866553262243049, 'f1-score': 0.28031329580133735, 'support': 186529.81196938318}
{'threshold': 62800.131208490326, 'roc_auc': 0.3264406857137114, 'acc': 0.4737339549141069, 'precision': 0.4857027659605618, 'recall': 0.4363039320569836, 'f1-score': 0.337227314209617, 'support': 186529.81196938318}
{'threshold': 40851.861887596875, 'roc_auc': 0.5500576163233415, 'acc': 0.4546978916734329, 'precision': 0.4878430701954135, 'recall': 0.5927397628599853, 'f1-score': 0.3117369765440146, 'support': 186529.81196938318}
{'threshold': 82472.0963602059, 'roc_auc': 0.3060411331440511, 'acc': 0.41634660122430733, 'precision': 0.4850437645590976, 'recall': 0.428605245651058, 'f1-score': 0.3058067843948063, 'support': 186529.81196938318}
{'threshold': 104606.21406259979, 'roc_auc': 0.35350719173131, 'acc': 0.33856203187578116, 'precision': 0.49162549509435066, 'recall': 0.424696725552021, 'f1-score': 0.26448095085414, 'support': 186529.81196938318}
{'threshold': 174141.58576577366, 'roc_auc': 0.5468305194920744, 'acc': 0.5383649749573499, 'precision': 0.5020602222218079, 'recall': 0.5502380739086339, 'f1-score': 0.38028038977166917, 'support': 186529.81196938318}
{'threshold': 117082.91757189213, 'roc_auc': 0.7656087530327126, 'acc': 0.7226606333190406, 'precision': 0.5334036775289855, 'recall': 0.7170419391270338, 'f1-score': 0.48898143191330007, 'support': 186529.81196938318}
{'threshold': 123785.97158208025, 'roc_auc': 0.5963648268431483, 'acc': 0.5287949422057603, 'precision': 0.5061303439388458, 'recall': 0.5658547132140197, 'f1-score': 0.3790048987716849, 'support': 186529.81196938318}
{'threshold': 62874.124314577195, 'roc_auc': 0.6653725705399045, 'acc': 0.5773256821727349, 'precision': 0.516671770575537, 'recall': 0.6255729944600725, 'f1-score': 0.4103080164128235, 'support': 186529.81196938318}
{'threshold': 86422.02571378966, 'roc_auc': 0.48481943742773087, 'acc': 0.45385127676461734, 'precision': 0.4927811030830726, 'recall': 0.4973063116121011, 'f1-score': 0.3286182808061483, 'support': 186529.81196938318}
{'threshold': 76146.69704561446, 'roc_auc': 0.6371444298656253, 'acc': 0.6728782169998084, 'precision': 0.5284319402419682, 'recall': 0.6319473235303328, 'f1-score': 0.4613485009735287, 'support': 186529.81196938318}
{'threshold': 62669.0473324332, 'roc_auc': 0.550776738217447, 'acc': 0.5372483190862398, 'precision': 0.5022891851275458, 'recall': 0.5518498580874518, 'f1-score': 0.37906293369393046, 'support': 186529.81196938318}
{'threshold': 126416.48077303787, 'roc_auc': 0.5394935086588204, 'acc': 0.47664784286535355, 'precision': 0.504780246713695, 'recall': 0.5543473012902335, 'f1-score': 0.35151630422196184, 'support': 186529.81196938318}
{'threshold': 58453.86086633343, 'roc_auc': 0.31079255101505565, 'acc': 0.244138925127494, 'precision': 0.4851700978517102, 'recall': 0.4175290772967381, 'f1-score': 0.20625136055778864, 'support': 186529.81196938318}
{'threshold': 37399.90446566842, 'roc_auc': 0.6377362814278269, 'acc': 0.5637178071944021, 'precision': 0.5113939276086266, 'recall': 0.5948156126385005, 'f1-score': 0.3993699087736997, 'support': 186529.81196938318}
{'threshold': 97849.40307205806, 'roc_auc': 0.5642834911906791, 'acc': 0.4985102132046381, 'precision': 0.5082549111560257, 'recall': 0.5694998329335933, 'f1-score': 0.36553315164310823, 'support': 186529.81196938318}
{'threshold': 64695.55550670313, 'roc_auc': 0.3123554970392403, 'acc': 0.6168428927225785, 'precision': 0.4903704232844172, 'recall': 0.43272497294234874, 'f1-score': 0.3989669694128561, 'support': 186529.81196938318}
{'threshold': 87038.7222374399, 'roc_auc': 0.5359404591442137, 'acc': 0.5216844717323675, 'precision': 0.5107588866651424, 'recall': 0.5440947339567035, 'f1-score': 0.37998432612652117, 'support': 186529.81196938318}
{'threshold': 74289.5776235483, 'roc_auc': 0.5240287614957516, 'acc': 0.48554824701449645, 'precision': 0.5097893178900765, 'recall': 0.5509964597943641, 'f1-score': 0.3586592623868641, 'support': 186529.81196938318}
{'threshold': 142770.60821885863, 'roc_auc': 0.33985859162914656, 'acc': 0.6716940508881246, 'precision': 0.4888965486222515, 'recall': 0.4833587144606861, 'f1-score': 0.4080625146597045, 'support': 186529.81196938318}
{'threshold': 60698.18847604042, 'roc_auc': 0.551436049697941, 'acc': 0.7042777772709441, 'precision': 0.5091517781228029, 'recall': 0.6109074380610815, 'f1-score': 0.4540249113221686, 'support': 186529.81196938318}
{'threshold': 107737.84634796112, 'roc_auc': 0.7534383389030533, 'acc': 0.6836816800926897, 'precision': 0.5493394897023355, 'recall': 0.700279805552487, 'f1-score': 0.48902208546151726, 'support': 186529.81196938318}
{'threshold': 69739.34210389621, 'roc_auc': 0.5792514042833452, 'acc': 0.5209965971189549, 'precision': 0.5118119354649139, 'recall': 0.5782744472787602, 'f1-score': 0.38041565833303653, 'support': 186529.81196938318}
{'threshold': 62245.58695140802, 'roc_auc': 0.7729921574026418, 'acc': 0.7638747228887085, 'precision': 0.5686918367837511, 'recall': 0.7288609079702003, 'f1-score': 0.5440736081834907, 'support': 186529.81196938318}
{'threshold': 130086.16035834595, 'roc_auc': 0.4842938207472916, 'acc': 0.5591161632288141, 'precision': 0.5087881015912665, 'recall': 0.5380255950955207, 'f1-score': 0.39116631701929877, 'support': 186529.81196938318}
{'threshold': 86740.16604835022, 'roc_auc': 0.3202137910159276, 'acc': 0.510565352649777, 'precision': 0.4857881607351381, 'recall': 0.4064269370676901, 'f1-score': 0.34878523631941205, 'support': 186529.81196938318}
{'threshold': 88907.30406260263, 'roc_auc': 0.4948462919211091, 'acc': 0.4335197467453678, 'precision': 0.5032101662708418, 'recall': 0.5188421689135478, 'f1-score': 0.32936465897108413, 'support': 186529.81196938318}
{'threshold': 84955.24985182243, 'roc_auc': 0.5790341826152665, 'acc': 0.5610356435824218, 'precision': 0.5261266361485714, 'recall': 0.5956627580138455, 'f1-score': 0.4108800479562437, 'support': 186529.81196938318}
{'threshold': 64133.30290319693, 'roc_auc': 0.49729331614728106, 'acc': 0.45614844954521816, 'precision': 0.5050980855514763, 'recall': 0.5307966250299156, 'f1-score': 0.33892256905263585, 'support': 186529.81196938318}
{'threshold': 43915.66386830828, 'roc_auc': 0.6230694024195454, 'acc': 0.5193690529408008, 'precision': 0.5175990756044824, 'recall': 0.6094723840638471, 'f1-score': 0.3832222587162543, 'support': 186529.81196938318}
