{'threshold': 0.869224919071675, 'roc_auc': 0.35173490688746584, 'acc': 0.657279702225101, 'precision': 0.4942173661273986, 'recall': 0.52053954213844, 'f1-score': 0.4026034225944498, 'support': 186529.81196938318}
{'threshold': 0.8410444296490734, 'roc_auc': 0.3646807149228605, 'acc': 0.6293450594363807, 'precision': 0.49411601761243135, 'recall': 0.5040288443285408, 'f1-score': 0.3987704857224098, 'support': 186529.81196938318}
{'threshold': 0.8392425179254209, 'roc_auc': 0.37826125957208184, 'acc': 0.6417541714942571, 'precision': 0.49505521109420036, 'recall': 0.5122084291230357, 'f1-score': 0.40437153160406736, 'support': 186529.81196938318}
{'threshold': 0.819215906456563, 'roc_auc': 0.3916925958888106, 'acc': 0.5887969492669665, 'precision': 0.4948894747594478, 'recall': 0.49340889905417457, 'f1-score': 0.39028882489380273, 'support': 186529.81196938318}
{'threshold': 0.814988360943043, 'roc_auc': 0.4025692003015669, 'acc': 0.5908532747028181, 'precision': 0.49547533606672434, 'recall': 0.49577542024133664, 'f1-score': 0.3923507079420716, 'support': 186529.81196938318}
{'threshold': 0.8129860743548162, 'roc_auc': 0.4085211269304471, 'acc': 0.5959512101666773, 'precision': 0.4958446535329559, 'recall': 0.4984265386157767, 'f1-score': 0.3946551342459705, 'support': 186529.81196938318}
{'threshold': 0.812210882307007, 'roc_auc': 0.40717680533072836, 'acc': 0.595847207904172, 'precision': 0.4957034793771949, 'recall': 0.49762935993924406, 'f1-score': 0.394385326999769, 'support': 186529.81196938318}
{'threshold': 0.8115587679996562, 'roc_auc': 0.4044491806357387, 'acc': 0.5915557461250034, 'precision': 0.4954767876249956, 'recall': 0.4961962510150938, 'f1-score': 0.3923842614357266, 'support': 186529.81196938318}
{'threshold': 0.8117503050666437, 'roc_auc': 0.4029013077672368, 'acc': 0.5915575707261, 'precision': 0.49535707798275147, 'recall': 0.4955340755520016, 'f1-score': 0.3921806545086374, 'support': 186529.81196938318}
{'threshold': 0.8119445707245683, 'roc_auc': 0.402205159955582, 'acc': 0.5920228440057292, 'precision': 0.49531219981644237, 'recall': 0.4954618317129921, 'f1-score': 0.39221317109275367, 'support': 186529.81196938318}
{'threshold': 0.8118728905032854, 'roc_auc': 0.4021789109521332, 'acc': 0.5919206663443205, 'precision': 0.4952708046228515, 'recall': 0.4951401554929237, 'f1-score': 0.3921460867902413, 'support': 186529.81196938318}
{'threshold': 0.8117423949299017, 'roc_auc': 0.4022169348023412, 'acc': 0.5914736390756571, 'precision': 0.49523011241277726, 'recall': 0.4948633383096283, 'f1-score': 0.3919233930125935, 'support': 186529.81196938318}
{'threshold': 0.8114689214080394, 'roc_auc': 0.4020559707255077, 'acc': 0.5899774661764572, 'precision': 0.49515417379333615, 'recall': 0.4941147391934041, 'f1-score': 0.3913492381463409, 'support': 186529.81196938318}
{'threshold': 0.8114341840018147, 'roc_auc': 0.40195786277307394, 'acc': 0.5893862954211635, 'precision': 0.4951095829062367, 'recall': 0.4937797800689117, 'f1-score': 0.39108066165888666, 'support': 186529.81196938318}
{'threshold': 0.8117679253415637, 'roc_auc': 0.40203667031333096, 'acc': 0.5908441516973352, 'precision': 0.4951384800615851, 'recall': 0.49435083293398896, 'f1-score': 0.3915419939577836, 'support': 186529.81196938318}
{'threshold': 0.8118172552254053, 'roc_auc': 0.4022485813910085, 'acc': 0.5909572769653234, 'precision': 0.49513385286790235, 'recall': 0.4943020413988697, 'f1-score': 0.39159206531770197, 'support': 186529.81196938318}
{'threshold': 0.8118016173278982, 'roc_auc': 0.4024705138958342, 'acc': 0.5911287894684024, 'precision': 0.49514624835227355, 'recall': 0.494391356927971, 'f1-score': 0.39167140082078455, 'support': 186529.81196938318}
{'threshold': 0.8125752450263485, 'roc_auc': 0.40240947043131986, 'acc': 0.5947633948528003, 'precision': 0.4952358783023081, 'recall': 0.4958211236457765, 'f1-score': 0.39286112933067174, 'support': 186529.81196938318}
{'threshold': 0.8114684013393653, 'roc_auc': 0.40242371774008856, 'acc': 0.5891983615082153, 'precision': 0.49510840028262476, 'recall': 0.49375305006405096, 'f1-score': 0.3910107930058656, 'support': 186529.81196938318}
{'threshold': 0.8114564815112253, 'roc_auc': 0.40239787567121327, 'acc': 0.5891345004698347, 'precision': 0.4951025648366588, 'recall': 0.49372076070492754, 'f1-score': 0.3909674556686678, 'support': 186529.81196938318}
{'threshold': 0.8125450614865452, 'roc_auc': 0.4022605532120244, 'acc': 0.5945718117376588, 'precision': 0.4952279935553022, 'recall': 0.4958414387634423, 'f1-score': 0.39271727815218815, 'support': 186529.81196938318}
{'threshold': 0.8112848078284604, 'roc_auc': 0.40218733519282646, 'acc': 0.5877094870134016, 'precision': 0.4950729044099614, 'recall': 0.49356194278116855, 'f1-score': 0.3903281609211664, 'support': 186529.81196938318}
{'threshold': 0.8115279571173912, 'roc_auc': 0.40210969011394887, 'acc': 0.5892421519345333, 'precision': 0.4950585742584159, 'recall': 0.493384260780799, 'f1-score': 0.39097235512291284, 'support': 186529.81196938318}
{'threshold': 0.8115243693047249, 'roc_auc': 0.4020539555656197, 'acc': 0.5890815870380338, 'precision': 0.49505044436251006, 'recall': 0.4933276128990925, 'f1-score': 0.39089889504502606, 'support': 186529.81196938318}
{'threshold': 0.8114341612849153, 'roc_auc': 0.40204674401053125, 'acc': 0.5881546896809685, 'precision': 0.4951261404742298, 'recall': 0.49453301152016854, 'f1-score': 0.39027307602977457, 'support': 186529.81196938318}
{'threshold': 0.8114092039014426, 'roc_auc': 0.40208555819920044, 'acc': 0.5881273206645197, 'precision': 0.49512416451540026, 'recall': 0.4945188775895319, 'f1-score': 0.3902589476394129, 'support': 186529.81196938318}
{'threshold': 0.8113904879747939, 'roc_auc': 0.4021574433416201, 'acc': 0.5881382682710993, 'precision': 0.4951217810812637, 'recall': 0.4944977232364206, 'f1-score': 0.3902629707372234, 'support': 186529.81196938318}
{'threshold': 0.811402925754154, 'roc_auc': 0.40209662586692624, 'acc': 0.5880616350250426, 'precision': 0.4951162686002454, 'recall': 0.49445794661229686, 'f1-score': 0.3902257545958277, 'support': 186529.81196938318}
{'threshold': 0.8113854674983975, 'roc_auc': 0.40205392976656307, 'acc': 0.5878955963252533, 'precision': 0.49511073682580264, 'recall': 0.49442546679784083, 'f1-score': 0.39014754109509714, 'support': 186529.81196938318}
{'threshold': 0.8113753173197792, 'roc_auc': 0.40204109160240087, 'acc': 0.5879174915384124, 'precision': 0.4951090510511546, 'recall': 0.49441004989466114, 'f1-score': 0.39015600077675533, 'support': 186529.81196938318}
{'threshold': 0.8114207137051132, 'roc_auc': 0.402139857029019, 'acc': 0.5882787625555363, 'precision': 0.495121496703126, 'recall': 0.4945732750667484, 'f1-score': 0.39027827393505665, 'support': 186529.81196938318}
{'threshold': 0.8114187647599825, 'roc_auc': 0.4021840818762734, 'acc': 0.5883864140202348, 'precision': 0.49512510405533017, 'recall': 0.49460278050922574, 'f1-score': 0.3903210997261594, 'support': 186529.81196938318}
{'threshold': 0.8115811059698392, 'roc_auc': 0.40222804672515355, 'acc': 0.5895450357165665, 'precision': 0.4951096916571525, 'recall': 0.4943994292566551, 'f1-score': 0.3908284980797484, 'support': 186529.81196938318}
{'threshold': 0.811482338432121, 'roc_auc': 0.40218101582167626, 'acc': 0.5890359720106192, 'precision': 0.49510720503630606, 'recall': 0.4943115009748135, 'f1-score': 0.3906481050421687, 'support': 186529.81196938318}
{'threshold': 0.8115027256626123, 'roc_auc': 0.40210591122578576, 'acc': 0.5889739355733353, 'precision': 0.4950966834618383, 'recall': 0.49422537841348463, 'f1-score': 0.39061901660281817, 'support': 186529.81196938318}
{'threshold': 0.8114920634455494, 'roc_auc': 0.4020451739984475, 'acc': 0.588838915092188, 'precision': 0.49509343594680316, 'recall': 0.4942089994373175, 'f1-score': 0.390556348033805, 'support': 186529.81196938318}
{'threshold': 0.8114678232944306, 'roc_auc': 0.40212326110248564, 'acc': 0.5889155483382446, 'precision': 0.4950990336485455, 'recall': 0.49424887160849207, 'f1-score': 0.3905926277943237, 'support': 186529.81196938318}
{'threshold': 0.8114967762595753, 'roc_auc': 0.4022622579384455, 'acc': 0.5893370311915558, 'precision': 0.49511094600980626, 'recall': 0.4943801777297705, 'f1-score': 0.39075204584436046, 'support': 186529.81196938318}
{'threshold': 0.8114573859272753, 'roc_auc': 0.40227679683948164, 'acc': 0.5890706394314543, 'precision': 0.4951032188982996, 'recall': 0.4942759825669205, 'f1-score': 0.39066000077392093, 'support': 186529.81196938318}
{'threshold': 0.8114440364492155, 'roc_auc': 0.40223286520426893, 'acc': 0.5890761132347441, 'precision': 0.4951031397286303, 'recall': 0.494278979349566, 'f1-score': 0.3906595293436448, 'support': 186529.81196938318}
{'threshold': 0.8115226426157025, 'roc_auc': 0.40205927288912763, 'acc': 0.5892293797268572, 'precision': 0.4951085606090806, 'recall': 0.4943788162135794, 'f1-score': 0.3906902824316565, 'support': 186529.81196938318}
{'threshold': 0.8115278537331069, 'roc_auc': 0.4021460612173839, 'acc': 0.5893096621751069, 'precision': 0.4951080956617643, 'recall': 0.49436656811367446, 'f1-score': 0.39072953932577814, 'support': 186529.81196938318}
{'threshold': 0.8115269899155126, 'roc_auc': 0.4021223975098205, 'acc': 0.5892439765356299, 'precision': 0.49510395880218677, 'recall': 0.4943319707619545, 'f1-score': 0.390705111012497, 'support': 186529.81196938318}
{'threshold': 0.8115407251564997, 'roc_auc': 0.40198057068225623, 'acc': 0.5890706394314543, 'precision': 0.49509220345413146, 'recall': 0.49424146812674546, 'f1-score': 0.3906292534724082, 'support': 186529.81196938318}
{'threshold': 0.8115458298251297, 'roc_auc': 0.40209584978623136, 'acc': 0.5893187851805899, 'precision': 0.49510500701697713, 'recall': 0.4943900175190274, 'f1-score': 0.39071355862106194, 'support': 186529.81196938318}
{'threshold': 0.8115295288717489, 'roc_auc': 0.40214997374038214, 'acc': 0.5892987145685274, 'precision': 0.49510362982630146, 'recall': 0.4943796895041351, 'f1-score': 0.39070302698837456, 'support': 186529.81196938318}
{'threshold': 0.8114921612612668, 'roc_auc': 0.40236065805758586, 'acc': 0.5893571018036182, 'precision': 0.4951125329359769, 'recall': 0.4944274915820632, 'f1-score': 0.39074164763734937, 'support': 186529.81196938318}
{'threshold': 0.8114464471496199, 'roc_auc': 0.4022334473700358, 'acc': 0.589085236240227, 'precision': 0.49511583742718734, 'recall': 0.49447458567898167, 'f1-score': 0.3906172395495285, 'support': 186529.81196938318}
{'threshold': 0.8115173074017898, 'roc_auc': 0.4023856258064013, 'acc': 0.5894866484814757, 'precision': 0.49511761669274307, 'recall': 0.49446856747145473, 'f1-score': 0.39079236849014837, 'support': 186529.81196938318}
{'threshold': 0.811557368028459, 'roc_auc': 0.40224271814312623, 'acc': 0.5894136644376123, 'precision': 0.49511251586938804, 'recall': 0.49443064829739414, 'f1-score': 0.3907578889161647, 'support': 186529.81196938318}
{'threshold': 0.8115328383574287, 'roc_auc': 0.4024026937700146, 'acc': 0.5895067190935381, 'precision': 0.4951189949944674, 'recall': 0.49447889548634705, 'f1-score': 0.390802899055849, 'support': 186529.81196938318}
{'threshold': 0.8115054955404223, 'roc_auc': 0.40239259804120026, 'acc': 0.5894793500770894, 'precision': 0.49512056877885174, 'recall': 0.4944913603594511, 'f1-score': 0.3907939350947722, 'support': 186529.81196938318}
{'threshold': 0.811511530976475, 'roc_auc': 0.4022997483973159, 'acc': 0.5895486849187597, 'precision': 0.49512484189925665, 'recall': 0.4945277952087854, 'f1-score': 0.3908203855870359, 'support': 186529.81196938318}
{'threshold': 0.8115334549989717, 'roc_auc': 0.4024908282254908, 'acc': 0.5896873546021001, 'precision': 0.4951343946489959, 'recall': 0.49459992167773514, 'f1-score': 0.39088457641913904, 'support': 186529.81196938318}
{'threshold': 0.8115630111209464, 'roc_auc': 0.40245578151386063, 'acc': 0.5897201974218387, 'precision': 0.49513007678404225, 'recall': 0.4945633782425206, 'f1-score': 0.3908958785338827, 'support': 186529.81196938318}
{'threshold': 0.8115516758375746, 'roc_auc': 0.40232964952986267, 'acc': 0.5895596325253392, 'precision': 0.49512579053966443, 'recall': 0.49453331525401667, 'f1-score': 0.39082798024051163, 'support': 186529.81196938318}
{'threshold': 0.8115625195499189, 'roc_auc': 0.40234045430661497, 'acc': 0.5896234935637197, 'precision': 0.49512346515885625, 'recall': 0.49451308855131376, 'f1-score': 0.390851166233331, 'support': 186529.81196938318}
{'threshold': 0.8115662759431372, 'roc_auc': 0.4025095341687838, 'acc': 0.589855217902986, 'precision': 0.4951300549432781, 'recall': 0.4945529887837722, 'f1-score': 0.3909560956083219, 'support': 186529.81196938318}
{'threshold': 0.8115410937064941, 'roc_auc': 0.40272270685923856, 'acc': 0.5898807623183382, 'precision': 0.4951421217072336, 'recall': 0.49464645831774834, 'f1-score': 0.39097791537196425, 'support': 186529.81196938318}
{'threshold': 0.8115674682981315, 'roc_auc': 0.40260250081305005, 'acc': 0.5897877076624123, 'precision': 0.495141778932684, 'recall': 0.49465193154033993, 'f1-score': 0.390934493712913, 'support': 186529.81196938318}
{'threshold': 0.8115558397338933, 'roc_auc': 0.4026428513041709, 'acc': 0.5898533933018894, 'precision': 0.4951398194751609, 'recall': 0.49463244624476127, 'f1-score': 0.39096153583857585, 'support': 186529.81196938318}
{'threshold': 0.811550989960832, 'roc_auc': 0.4025884257421308, 'acc': 0.5897858830613157, 'precision': 0.49514128325873086, 'recall': 0.4946512040437539, 'f1-score': 0.3909300826234913, 'support': 186529.81196938318}
{'threshold': 0.8115363693991627, 'roc_auc': 0.4024870906956456, 'acc': 0.5897512156404806, 'precision': 0.495132549971983, 'recall': 0.4945793387811888, 'f1-score': 0.3909131561513065, 'support': 186529.81196938318}
{'threshold': 0.8115578887673883, 'roc_auc': 0.40242881863793584, 'acc': 0.5897074252141625, 'precision': 0.4951296723423607, 'recall': 0.4945564352445101, 'f1-score': 0.3908947197320044, 'support': 186529.81196938318}
{'threshold': 0.8111178511369893, 'roc_auc': 0.40240694533150373, 'acc': 0.5872314415260964, 'precision': 0.49507270058621705, 'recall': 0.49368416703497386, 'f1-score': 0.390054767829121, 'support': 186529.81196938318}
{'threshold': 0.8115630767702862, 'roc_auc': 0.40252815781719575, 'acc': 0.5897694616514465, 'precision': 0.4951403988521679, 'recall': 0.49464249763225304, 'f1-score': 0.3909250577852333, 'support': 186529.81196938318}
{'threshold': 0.8113743168758302, 'roc_auc': 0.40230151353266774, 'acc': 0.5896417395746855, 'precision': 0.4951343092161108, 'recall': 0.4946031222739273, 'f1-score': 0.3908634528520859, 'support': 186529.81196938318}
{'threshold': 0.810771908763812, 'roc_auc': 0.40109688728058157, 'acc': 0.5888772317152162, 'precision': 0.4950803773177028, 'recall': 0.4942146366562824, 'f1-score': 0.39050308472084205, 'support': 186529.81196938318}
{'threshold': 0.8101918431917405, 'roc_auc': 0.3994732786585317, 'acc': 0.5862187879174915, 'precision': 0.494983435224, 'recall': 0.49338236918954675, 'f1-score': 0.38938489405023613, 'support': 186529.81196938318}
{'threshold': 0.8099523882545167, 'roc_auc': 0.3990322349151768, 'acc': 0.5856239679600047, 'precision': 0.4949444144669597, 'recall': 0.49306341260705705, 'f1-score': 0.38912097479613705, 'support': 186529.81196938318}
{'threshold': 0.8096998051204638, 'roc_auc': 0.39900275394919965, 'acc': 0.5847171412150018, 'precision': 0.494913987201921, 'recall': 0.4926399579818483, 'f1-score': 0.38881715396677313, 'support': 186529.81196938318}
{'threshold': 0.8096960211083368, 'roc_auc': 0.39911107675779944, 'acc': 0.5849944805816828, 'precision': 0.4949268771920854, 'recall': 0.4927678803129727, 'f1-score': 0.38891798663893, 'support': 186529.81196938318}
{'threshold': 0.8096890813760818, 'roc_auc': 0.39887112314562556, 'acc': 0.5848284418818935, 'precision': 0.4949124083469838, 'recall': 0.49265468184729583, 'f1-score': 0.3888397647869044, 'support': 186529.81196938318}
{'threshold': 0.8097256088513932, 'roc_auc': 0.3987776395675369, 'acc': 0.5850145511937452, 'precision': 0.4948981017893399, 'recall': 0.492500147834632, 'f1-score': 0.3889293129622302, 'support': 186529.81196938318}
{'threshold': 0.8096225355983995, 'roc_auc': 0.3986464576853245, 'acc': 0.5843832392143268, 'precision': 0.49489952569616014, 'recall': 0.4925478507466504, 'f1-score': 0.38865015114961793, 'support': 186529.81196938318}
{'threshold': 0.8096596172599309, 'roc_auc': 0.3985991522866168, 'acc': 0.5845456287119228, 'precision': 0.49490065839357955, 'recall': 0.4925978453763934, 'f1-score': 0.388696801248215, 'support': 186529.81196938318}
{'threshold': 0.8096104676057924, 'roc_auc': 0.39849572171779973, 'acc': 0.5840712324268107, 'precision': 0.49490033400131167, 'recall': 0.4926197265054679, 'f1-score': 0.3884865338105553, 'support': 186529.81196938318}
{'threshold': 0.8096203141514018, 'roc_auc': 0.3984836766504358, 'acc': 0.584043863410362, 'precision': 0.4948986728801427, 'recall': 0.4926053921016246, 'f1-score': 0.38847558523524534, 'support': 186529.81196938318}
{'threshold': 0.8095970802169314, 'roc_auc': 0.39855461823378807, 'acc': 0.5841661116838331, 'precision': 0.4948976425536066, 'recall': 0.4925424093961533, 'f1-score': 0.3885532765637803, 'support': 186529.81196938318}
