{'threshold': 0.7615334937334807, 'roc_auc': 0.37847598183861986, 'acc': 0.35091823050185655, 'precision': 0.4248189367741888, 'recall': 0.5258465919823191, 'f1-score': 0.25211029125661155, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.2871881741452542, 'acc': 0.6919252278470619, 'precision': 0.48944189217047307, 'recall': 0.4862386448516148, 'f1-score': 0.4088299993279971, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.3710055097988998, 'acc': 0.710631038289254, 'precision': 0.4947437865508056, 'recall': 0.5278067848249922, 'f1-score': 0.42562199139104434, 'support': 186529.81196938318}
{'threshold': 0.7943532368632906, 'roc_auc': 0.4320394014900233, 'acc': 0.40586061872223184, 'precision': 0.49235656079967505, 'recall': 0.5020789646857071, 'f1-score': 0.3000073661349726, 'support': 186529.81196938318}
{'threshold': 0.7650060250150034, 'roc_auc': 0.38266428571333244, 'acc': 0.39365586198717306, 'precision': 0.34619148985143033, 'recall': 0.5511970945615944, 'f1-score': 0.2729231146672983, 'support': 186529.81196938318}
{'threshold': 0.8825661677987858, 'roc_auc': 0.4139396865917697, 'acc': 0.6520339740724184, 'precision': 0.4980483524251715, 'recall': 0.5213258269576262, 'f1-score': 0.4165611109305937, 'support': 186529.81196938318}
{'threshold': 0.7821949564182664, 'roc_auc': 0.498876868454606, 'acc': 0.48175307673359913, 'precision': 0.5080921885950924, 'recall': 0.5550400752286546, 'f1-score': 0.35479604889254374, 'support': 186529.81196938318}
{'threshold': 0.8275839292147074, 'roc_auc': 0.4201798868511211, 'acc': 0.5959639823743534, 'precision': 0.4989587120505781, 'recall': 0.5107239118954985, 'f1-score': 0.3998372993731816, 'support': 186529.81196938318}
{'threshold': 0.886938502605988, 'roc_auc': 0.29670690583073456, 'acc': 0.5959001213359729, 'precision': 0.49114922102290026, 'recall': 0.485179410612516, 'f1-score': 0.3684132890325906, 'support': 186529.81196938318}
{'threshold': 0.8163270725904234, 'roc_auc': 0.28777986635291, 'acc': 0.3148020763960479, 'precision': 0.35892977267130144, 'recall': 0.49653961965003957, 'f1-score': 0.22010106277183245, 'support': 186529.81196938318}
{'threshold': 0.8946771732949285, 'roc_auc': 0.2988274435920447, 'acc': 0.5934971216917702, 'precision': 0.4905001492212445, 'recall': 0.4818779474294296, 'f1-score': 0.36688216659176653, 'support': 186529.81196938318}
{'threshold': 0.8064597986956722, 'roc_auc': 0.5143762998334291, 'acc': 0.4858292355833706, 'precision': 0.5024274462176875, 'recall': 0.5275175608675398, 'f1-score': 0.35420933692104206, 'support': 186529.81196938318}
{'threshold': 0.7855818005775222, 'roc_auc': 0.6162301374120274, 'acc': 0.5591234616332005, 'precision': 0.5219160275466154, 'recall': 0.6310053859909722, 'f1-score': 0.40504755528513753, 'support': 186529.81196938318}
{'threshold': 0.785745764424472, 'roc_auc': 0.40072374125598004, 'acc': 0.36497678195104594, 'precision': 0.4635689721437672, 'recall': 0.5395942590250813, 'f1-score': 0.2611588616572875, 'support': 186529.81196938318}
{'threshold': 0.7716978892293146, 'roc_auc': 0.5399441809051301, 'acc': 0.4357256894711394, 'precision': 0.5128178560200921, 'recall': 0.601288623929556, 'f1-score': 0.3319551340427604, 'support': 186529.81196938318}
