{'threshold': 0.87387586392199, 'roc_auc': 0.35011000625845473, 'acc': 0.6654393183290304, 'precision': 0.4946287573767119, 'recall': 0.5238067276145169, 'f1-score': 0.40697923592031965, 'support': 186529.81196938318}
{'threshold': 0.7568807950387471, 'roc_auc': 0.38120931084542975, 'acc': 0.34908633100088493, 'precision': 0.415366437353882, 'recall': 0.527324785953484, 'f1-score': 0.25120954952238855, 'support': 186529.81196938318}
{'threshold': 0.8140188271959141, 'roc_auc': 0.4071291818880493, 'acc': 0.596128196473046, 'precision': 0.49549168422666395, 'recall': 0.4967179944667138, 'f1-score': 0.39417871971265694, 'support': 186529.81196938318}
{'threshold': 0.8104461045365382, 'roc_auc': 0.4035670704578297, 'acc': 0.5902000675102406, 'precision': 0.4952155088810572, 'recall': 0.4946598148340742, 'f1-score': 0.3914632813550114, 'support': 186529.81196938318}
{'threshold': 0.8092504204866585, 'roc_auc': 0.3995349406320329, 'acc': 0.5866931842026037, 'precision': 0.49501374852788194, 'recall': 0.4933241818708261, 'f1-score': 0.38976705050360916, 'support': 186529.81196938318}
{'threshold': 0.809090582778897, 'roc_auc': 0.39746919563509575, 'acc': 0.5870161385966993, 'precision': 0.49496131918414094, 'recall': 0.4934900977809151, 'f1-score': 0.38958544019617486, 'support': 186529.81196938318}
{'threshold': 0.8089090953686672, 'roc_auc': 0.39648934736241076, 'acc': 0.5867898880607227, 'precision': 0.4949075470066249, 'recall': 0.49313328308547544, 'f1-score': 0.3894201378116083, 'support': 186529.81196938318}
{'threshold': 0.808614188602949, 'roc_auc': 0.395967163886868, 'acc': 0.5854415078503462, 'precision': 0.4948552014134081, 'recall': 0.49257907703822906, 'f1-score': 0.38890493026136963, 'support': 186529.81196938318}
{'threshold': 0.8087283763704269, 'roc_auc': 0.39579656685349685, 'acc': 0.5863264393821901, 'precision': 0.4948660096761222, 'recall': 0.4928577667246135, 'f1-score': 0.3891761687624331, 'support': 186529.81196938318}
{'threshold': 0.8084256851804611, 'roc_auc': 0.39562431349898514, 'acc': 0.5847846514555756, 'precision': 0.49482585856194494, 'recall': 0.4922891399701886, 'f1-score': 0.3886443936717065, 'support': 186529.81196938318}
{'threshold': 0.8086064809197154, 'roc_auc': 0.39563405802513074, 'acc': 0.585939623949714, 'precision': 0.49486878624619024, 'recall': 0.49289842735581496, 'f1-score': 0.38900538172186894, 'support': 186529.81196938318}
{'threshold': 0.8085680307733215, 'roc_auc': 0.3955774825164108, 'acc': 0.5858173756762428, 'precision': 0.49486429603141857, 'recall': 0.49286128226077275, 'f1-score': 0.38895644299551335, 'support': 186529.81196938318}
{'threshold': 0.808267251689354, 'roc_auc': 0.39556279043094594, 'acc': 0.5842172005145375, 'precision': 0.49482610822823336, 'recall': 0.49227040139511435, 'f1-score': 0.38841694006313526, 'support': 186529.81196938318}
{'threshold': 0.8086138043126693, 'roc_auc': 0.39541350678548587, 'acc': 0.5857535146378623, 'precision': 0.4948550208994333, 'recall': 0.4928107903100392, 'f1-score': 0.3889129139152271, 'support': 186529.81196938318}
{'threshold': 0.8083296251591939, 'roc_auc': 0.3953257146049737, 'acc': 0.5842208497167307, 'precision': 0.49481687324290835, 'recall': 0.49223753908412393, 'f1-score': 0.388394495416134, 'support': 186529.81196938318}
{'threshold': 0.8083167191017794, 'roc_auc': 0.39522124367111516, 'acc': 0.5840310912026858, 'precision': 0.4948089926754806, 'recall': 0.49215599440394536, 'f1-score': 0.38832182722341535, 'support': 186529.81196938318}
{'threshold': 0.8083264371311983, 'roc_auc': 0.3951914183260912, 'acc': 0.5840073713884302, 'precision': 0.49480467701338676, 'recall': 0.4921163898004508, 'f1-score': 0.3883160430434525, 'support': 186529.81196938318}
{'threshold': 0.80831350594079, 'roc_auc': 0.3951921164516132, 'acc': 0.5840529864158448, 'precision': 0.4948060218797319, 'recall': 0.492149683079628, 'f1-score': 0.38832451070657864, 'support': 186529.81196938318}
{'threshold': 0.8083032781340455, 'roc_auc': 0.39520075291550616, 'acc': 0.5839763531697882, 'precision': 0.49480570679878916, 'recall': 0.49212716836514425, 'f1-score': 0.3883018481072794, 'support': 186529.81196938318}
{'threshold': 0.8082561328169602, 'roc_auc': 0.39518552180876726, 'acc': 0.5837628748414878, 'precision': 0.49479639844101136, 'recall': 0.49203312828921425, 'f1-score': 0.3882205425653704, 'support': 186529.81196938318}
{'threshold': 0.8082273084994904, 'roc_auc': 0.39519152281436376, 'acc': 0.5837537518360049, 'precision': 0.4947962536129183, 'recall': 0.4920280412307891, 'f1-score': 0.3882217429863373, 'support': 186529.81196938318}
{'threshold': 0.8082161861939282, 'roc_auc': 0.3951794992608473, 'acc': 0.583704487606397, 'precision': 0.4947931495880649, 'recall': 0.4920021995745731, 'f1-score': 0.3882021168115135, 'support': 186529.81196938318}
{'threshold': 0.8082574419639533, 'roc_auc': 0.39521594971274976, 'acc': 0.5839836515741746, 'precision': 0.49478230477465224, 'recall': 0.4919146080019901, 'f1-score': 0.38831932881551606, 'support': 186529.81196938318}
{'threshold': 0.8082287837788585, 'roc_auc': 0.3951545749861587, 'acc': 0.5837555764371014, 'precision': 0.4947920316424059, 'recall': 0.4920111983974171, 'f1-score': 0.388216506327051, 'support': 186529.81196938318}
{'threshold': 0.8081909152379195, 'roc_auc': 0.3951902448697434, 'acc': 0.5835621687208634, 'precision': 0.494784394949157, 'recall': 0.4919273968312395, 'f1-score': 0.38814779821746814, 'support': 186529.81196938318}
{'threshold': 0.808256349414235, 'roc_auc': 0.39522403923252797, 'acc': 0.5838577540985103, 'precision': 0.49479906864151046, 'recall': 0.49206430435051185, 'f1-score': 0.38826476452787134, 'support': 186529.81196938318}
{'threshold': 0.8081937519372274, 'roc_auc': 0.3951754970928054, 'acc': 0.5835311505022215, 'precision': 0.49478270211844466, 'recall': 0.4919109428200625, 'f1-score': 0.3881383724555217, 'support': 186529.81196938318}
{'threshold': 0.8081987503492527, 'roc_auc': 0.3952993409563505, 'acc': 0.5837099614096868, 'precision': 0.4947947118676438, 'recall': 0.4920042910487135, 'f1-score': 0.3882171124253032, 'support': 186529.81196938318}
{'threshold': 0.8082322134343495, 'roc_auc': 0.3953705045906971, 'acc': 0.583907018328118, 'precision': 0.49480223808225404, 'recall': 0.49209009974368034, 'f1-score': 0.38828512783277963, 'support': 186529.81196938318}
{'threshold': 0.8082621395857089, 'roc_auc': 0.3953423731407032, 'acc': 0.5840237927982995, 'precision': 0.49480985688717477, 'recall': 0.49215117070115155, 'f1-score': 0.3883345740017899, 'support': 186529.81196938318}
{'threshold': 0.8082528263731492, 'roc_auc': 0.3953611740833969, 'acc': 0.5840402142081688, 'precision': 0.494810736204035, 'recall': 0.49215989253366826, 'f1-score': 0.3883393812405325, 'support': 186529.81196938318}
{'threshold': 0.808238537491891, 'roc_auc': 0.3954533830524151, 'acc': 0.5841734100882194, 'precision': 0.4948208905626194, 'recall': 0.4922201603564094, 'f1-score': 0.3884055408940999, 'support': 186529.81196938318}
{'threshold': 0.8082346587363669, 'roc_auc': 0.39557626097792686, 'acc': 0.5842719385474351, 'precision': 0.494830503640851, 'recall': 0.4922984563831205, 'f1-score': 0.38844929375251197, 'support': 186529.81196938318}
{'threshold': 0.8085211574552216, 'roc_auc': 0.39563363406009067, 'acc': 0.5860126079935774, 'precision': 0.4948775640182496, 'recall': 0.4929631379381955, 'f1-score': 0.3890435202989041, 'support': 186529.81196938318}
{'threshold': 0.8082226311192684, 'roc_auc': 0.3958204838449829, 'acc': 0.5845675239250819, 'precision': 0.494849262078448, 'recall': 0.49245313017412456, 'f1-score': 0.38857171005225205, 'support': 186529.81196938318}
