{'threshold': 0.874629622121376, 'roc_auc': 0.33037931408470717, 'acc': 0.6373039694196856, 'precision': 0.49324747625880055, 'recall': 0.5117029196426169, 'f1-score': 0.3912603680160429, 'support': 186529.81196938318}
{'threshold': 0.8370761723171575, 'roc_auc': 0.3689974600490423, 'acc': 0.6317407606761972, 'precision': 0.494090790280851, 'recall': 0.5043357960246698, 'f1-score': 0.3993335712482006, 'support': 186529.81196938318}
{'threshold': 0.8095392601776241, 'roc_auc': 0.41033882285887535, 'acc': 0.5934058916369409, 'precision': 0.49554646427802485, 'recall': 0.4970970704961968, 'f1-score': 0.3929882615233357, 'support': 186529.81196938318}
{'threshold': 0.8070186796315858, 'roc_auc': 0.4152066130275599, 'acc': 0.5964383786594656, 'precision': 0.4958440385398549, 'recall': 0.4990025429163311, 'f1-score': 0.3945171929460573, 'support': 186529.81196938318}
{'threshold': 0.8039296305218856, 'roc_auc': 0.42019222344961116, 'acc': 0.5841168474542253, 'precision': 0.49567562241412716, 'recall': 0.4947446181520737, 'f1-score': 0.3907818167125016, 'support': 186529.81196938318}
{'threshold': 0.8033751349678717, 'roc_auc': 0.4220576181002572, 'acc': 0.5837938930601297, 'precision': 0.49580619056779085, 'recall': 0.4958382053477742, 'f1-score': 0.39072010817644887, 'support': 186529.81196938318}
{'threshold': 0.8035038385708103, 'roc_auc': 0.4219880444150956, 'acc': 0.5840420388092653, 'precision': 0.4958130087060943, 'recall': 0.49581218237715957, 'f1-score': 0.390868254144382, 'support': 186529.81196938318}
{'threshold': 0.8034778763192474, 'roc_auc': 0.4221694945739118, 'acc': 0.5841898314980888, 'precision': 0.4958467826742715, 'recall': 0.49613141193982413, 'f1-score': 0.39093610831788317, 'support': 186529.81196938318}
{'threshold': 0.7917560747595859, 'roc_auc': 0.4227270266105756, 'acc': 0.5246749929296708, 'precision': 0.4940866016939735, 'recall': 0.4792233701803544, 'f1-score': 0.3676628138286598, 'support': 186529.81196938318}
{'threshold': 0.791813388979695, 'roc_auc': 0.4229611969172078, 'acc': 0.5257022433470483, 'precision': 0.4941135997021434, 'recall': 0.4793283261247635, 'f1-score': 0.36812969302766974, 'support': 186529.81196938318}
{'threshold': 0.8036528544931326, 'roc_auc': 0.4229475742423937, 'acc': 0.5862206125185881, 'precision': 0.49593507770432327, 'recall': 0.49683328604483884, 'f1-score': 0.3917963358811081, 'support': 186529.81196938318}
{'threshold': 0.8036245366898036, 'roc_auc': 0.42293678873972257, 'acc': 0.5861549268791111, 'precision': 0.4959364612705284, 'recall': 0.49676973279741365, 'f1-score': 0.3918059940583666, 'support': 186529.81196938318}
{'threshold': 0.803631453886671, 'roc_auc': 0.4228572615391996, 'acc': 0.5859578699606799, 'precision': 0.49593557551850714, 'recall': 0.4968111396477768, 'f1-score': 0.39170982198933874, 'support': 186529.81196938318}
{'threshold': 0.8036149441709215, 'roc_auc': 0.4228672494413861, 'acc': 0.5857991296652769, 'precision': 0.4959436086717678, 'recall': 0.4968895331305779, 'f1-score': 0.39164848063737373, 'support': 186529.81196938318}
{'threshold': 0.8038593789162655, 'roc_auc': 0.42302260019278365, 'acc': 0.5870927718427559, 'precision': 0.49595836904515167, 'recall': 0.49686360627306875, 'f1-score': 0.392219854460002, 'support': 186529.81196938318}
{'threshold': 0.8039178867466157, 'roc_auc': 0.42333892044638155, 'acc': 0.5872752319524144, 'precision': 0.4959766439963082, 'recall': 0.4969848540884736, 'f1-score': 0.3923151097188253, 'support': 186529.81196938318}
{'threshold': 0.7923239787821666, 'roc_auc': 0.42360597965613794, 'acc': 0.5271254322023847, 'precision': 0.49419124254961183, 'recall': 0.4797694073626688, 'f1-score': 0.36882746722913834, 'support': 186529.81196938318}
{'threshold': 0.792496062564333, 'roc_auc': 0.42398413212165, 'acc': 0.527353507339458, 'precision': 0.49423227843900885, 'recall': 0.48004006356750833, 'f1-score': 0.36896114930047924, 'support': 186529.81196938318}
{'threshold': 0.7925772751505332, 'roc_auc': 0.424728100496987, 'acc': 0.5278844662585642, 'precision': 0.4943110710780449, 'recall': 0.4805700975174139, 'f1-score': 0.3692422616409264, 'support': 186529.81196938318}
{'threshold': 0.7924138263971652, 'roc_auc': 0.4244982958241658, 'acc': 0.5266273161030169, 'precision': 0.49425721082516993, 'recall': 0.480261160108375, 'f1-score': 0.3686715872777476, 'support': 186529.81196938318}
{'threshold': 0.7923914029641673, 'roc_auc': 0.42430082742831493, 'acc': 0.526851742037897, 'precision': 0.49424901762495876, 'recall': 0.48021071274865973, 'f1-score': 0.36874922585317704, 'support': 186529.81196938318}
{'threshold': 0.7922734236130601, 'roc_auc': 0.42456722114802725, 'acc': 0.5266528605183691, 'precision': 0.4942635292557369, 'recall': 0.4803017697867418, 'f1-score': 0.3686857587671398, 'support': 186529.81196938318}
{'threshold': 0.7922277686446118, 'roc_auc': 0.42438954844811966, 'acc': 0.5265014186273526, 'precision': 0.49424325679908754, 'recall': 0.4801782291239143, 'f1-score': 0.36860325568739144, 'support': 186529.81196938318}
{'threshold': 0.7923934585276207, 'roc_auc': 0.42432764979745363, 'acc': 0.5272130130550209, 'precision': 0.4942474545622932, 'recall': 0.48012773050559127, 'f1-score': 0.3689144083937152, 'support': 186529.81196938318}
{'threshold': 0.7923539831400098, 'roc_auc': 0.4243603158112327, 'acc': 0.5274666326074462, 'precision': 0.4942598547403905, 'recall': 0.4801978147995793, 'f1-score': 0.3690308598696735, 'support': 186529.81196938318}
{'threshold': 0.7923580431611255, 'roc_auc': 0.4245807213678767, 'acc': 0.5276673387280706, 'precision': 0.4942843197933585, 'recall': 0.4803472666713139, 'f1-score': 0.3691365636470556, 'support': 186529.81196938318}
{'threshold': 0.7923644675576023, 'roc_auc': 0.4247855280915733, 'acc': 0.5278972384662404, 'precision': 0.49431420479885047, 'recall': 0.4805294880521015, 'f1-score': 0.369260683437315, 'support': 186529.81196938318}
{'threshold': 0.7923879225290404, 'roc_auc': 0.4245074133287671, 'acc': 0.5275888808809174, 'precision': 0.49428400364280656, 'recall': 0.48035070187954204, 'f1-score': 0.3691046502617208, 'support': 186529.81196938318}
{'threshold': 0.7924338222282995, 'roc_auc': 0.42448257849299886, 'acc': 0.5278260790234734, 'precision': 0.49428377306121196, 'recall': 0.48030218560243837, 'f1-score': 0.369214551150668, 'support': 186529.81196938318}
{'threshold': 0.7923465838032138, 'roc_auc': 0.42438962148426396, 'acc': 0.5271290814045779, 'precision': 0.49426899616555825, 'recall': 0.48026979027651173, 'f1-score': 0.3689059140840649, 'support': 186529.81196938318}
{'threshold': 0.7924454236152819, 'roc_auc': 0.4243413413396963, 'acc': 0.5275323182469233, 'precision': 0.49427225524149504, 'recall': 0.4802562398191147, 'f1-score': 0.369080681062477, 'support': 186529.81196938318}
{'threshold': 0.7924545620412025, 'roc_auc': 0.424528098955429, 'acc': 0.5276728125313603, 'precision': 0.4942877577179445, 'recall': 0.48034717602908883, 'f1-score': 0.3691544827998063, 'support': 186529.81196938318}
{'threshold': 0.7923553369688716, 'roc_auc': 0.424665857472867, 'acc': 0.5274264913833213, 'precision': 0.4942971737598878, 'recall': 0.4803952270597173, 'f1-score': 0.3690675600449537, 'support': 186529.81196938318}
{'threshold': 0.7924363847945286, 'roc_auc': 0.42454708040673494, 'acc': 0.5278698694497915, 'precision': 0.4942812841467368, 'recall': 0.48023135192044525, 'f1-score': 0.3692479891205106, 'support': 186529.81196938318}
{'threshold': 0.7923508161096104, 'roc_auc': 0.42458644608717183, 'acc': 0.5273151907164296, 'precision': 0.4942870459078476, 'recall': 0.4803368027329589, 'f1-score': 0.3690133554099912, 'support': 186529.81196938318}
{'threshold': 0.7924643973075358, 'roc_auc': 0.42472077617514087, 'acc': 0.5281946484449838, 'precision': 0.4943138228576293, 'recall': 0.480495027511722, 'f1-score': 0.3693941688047534, 'support': 186529.81196938318}
{'threshold': 0.792367738055157, 'roc_auc': 0.42470026699616215, 'acc': 0.5279483272969447, 'precision': 0.49430109383226767, 'recall': 0.48035204483267624, 'f1-score': 0.36930114236514733, 'support': 186529.81196938318}
{'threshold': 0.7924657276185199, 'roc_auc': 0.4249642414814193, 'acc': 0.528981051517612, 'precision': 0.49434462981918625, 'recall': 0.4806080085198032, 'f1-score': 0.3697614679117673, 'support': 186529.81196938318}
{'threshold': 0.7922987353847079, 'roc_auc': 0.4241466269975748, 'acc': 0.5267313183655223, 'precision': 0.4942321235782858, 'recall': 0.4800143710881532, 'f1-score': 0.3687186356210476, 'support': 186529.81196938318}
